Date, Day Type
8 20 2014,  A
8 21 2014,  B
8 22 2014,  C
8 25 2014,  D
8 26 2014,  E
8 27 2014,  F
8 28 2014,  G
8 29 2014,  A
9 2 2014,  B
9 3 2014,  C
9 4 2014,  D
9 5 2014,  E
9 8 2014,  F
9 9 2014,  G
9 10 2014,  A
9 11 2014,  B
9 12 2014,  C
9 15 2014,  D
9 16 2014,  E
9 17 2014,  F
9 18 2014,  G
9 19 2014,  A
9 22 2014,  B
9 23 2014,  C
9 24 2014,  D
9 25 2014,  E
9 26 2014,  F
9 29 2014,  G
9 30 2014,  A
10 1 2014,  B
10 2 2014,  C
10 3 2014,  D
10 6 2014,  E
10 7 2014,  F
10 8 2014,  G
10 9 2014,  A
10 10 2014,  B
10 13 2014,  C
10 14 2014,  D
10 20 2014,  E
10 21 2014,  F
10 23 2014,  G
10 24 2014,  A
10 27 2014,  B
10 28 2014,  C
10 29 2014,  D
10 30 2014,  E
10 31 2014,  F
11 3 2014,  G
11 4 2014,  A
11 5 2014,  B
11 6 2014,  C
11 7 2014,  D
11 10 2014,  E
11 11 2014,  F
11 12 2014,  G
11 13 2014,  A
11 14 2014,  B
11 17 2014,  C
11 18 2014,  D
11 19 2014,  E
11 20 2014,  F
11 21 2014,  G
11 24 2014,  A
11 25 2014,  B
12 1 2014,  C
12 2 2014,  D
12 3 2014,  E
12 4 2014,  F
12 5 2014,  G
12 8 2014,  A
12 9 2014,  B
12 10 2014,  C
12 11 2014,  D
12 12 2014,  E
12 15 2014,  F
12 16 2014,  G
12 17 2014,  A
12 18 2014,  B
1 5 2015,  C
1 6 2015,  D
1 7 2015,  E
1 8 2015,  F
1 9 2015,  G
1 12 2015,  A
1 13 2015,  B
1 14 2015,  C
1 15 2015,  D
1 20 2015,  E
1 21 2015,  F
1 22 2015,  G
1 23 2015,  A
1 26 2015,  B
1 27 2015,  C
1 28 2015,  D
1 29 2015,  E
1 30 2015,  F
2 2 2015,  G
2 3 2015,  A
2 4 2015,  B
2 5 2015,  C
2 6 2015,  D
2 9 2015,  E
2 10 2015,  F
2 11 2015,  G
2 12 2015,  A
2 13 2015,  B
2 17 2015,  C
2 18 2015,  D
2 19 2015,  E
2 20 2015,  F
2 23 2015,  G
2 24 2015,  A
2 25 2015,  B
2 26 2015,  C
2 27 2015,  D
3 2 2015,  E
3 3 2015,  F
3 4 2015,  G
3 5 2015,  A
3 6 2015,  B
3 9 2015,  C
3 10 2015,  D
3 12 2015,  E
3 13 2015,  F
3 16 2015,  G
3 17 2015,  A
3 18 2015,  B
3 19 2015,  C
3 20 2015,  D
4 6 2015,  E
4 7 2015,  F
4 8 2015,  G
4 9 2015,  A
4 10 2015,  B
4 13 2015,  C
4 14 2015,  D
4 16 2015,  E
4 17 2015,  F
4 20 2015,  G
4 21 2015,  A
4 22 2015,  B
4 23 2015,  C
4 24 2015,  D
4 27 2015,  E
4 28 2015,  F
4 29 2015,  G
4 30 2015,  A
5 4 2015,  B
5 5 2015,  C
5 6 2015,  D
5 7 2015,  E
5 8 2015,  F
5 11 2015,  G
5 12 2015,  A
5 13 2015,  B
5 14 2015,  C
5 15 2015,  D
5 18 2015,  E
5 19 2015,  F
5 20 2015,  G
5 21 2015,  A
5 22 2015,  B
